cnterNm,cnterChNm,operMbyCn,operModeCn,ctpvNm,sggNm,roadNmAddr,lotnoAddr,lat,lot,hmpgAddr,rprsTelno,dscsnTelno,fxno,emlAddr,operHrCn,empCnt,pvsnLngNm,crtrYmd,expsrYn,rmrkCn
종로구 가족센터,박지선,민간,위탁,서울,종로구,"서울특별시 종로구 종로53길 29, 토월 2층","서울특별시 종로구 창신동 197-17, 토월 2층",37.5736665,127.0132021,http://jongno.familynet.or.kr/,27643524,27441090,27644854,jongno3521@naver.com,"평일 09:00-18:00(휴게시간 12:00-13:00, 주말 정기휴무)",25,베트남어,20221215,Y,
서울 중구 가족센터,정주원,민간,위탁,서울,중구,"서울특별시 중구 퇴계로 460, 10층","서울특별시 중구 신당동 160-2, 10층",37.5650538,127.0227775,https://sujung.familynet.or.kr,222793891,222793896,222793898,junggufamily@hanmail.net,"평일 09:00-18:00(휴게시간 12:00-13:00, 주말 정기휴무)",23,몽골어,20221215,Y,
용산구 가족센터,한선규,민간,위탁,서울,용산구,서울특별시 용산구 이태원로 224-19(한남동) 한남동 공영주차장 부대시설 3층,"서울특별시 용산구 한남동 685-46, 한남동 공영주차장 부대시설 3층",37.534799,127.00006,http://yongsan.familynet.or.kr/,27979184,27949184,27979189,yongsan@familynet.or.kr,평일 09:00-18:00,24,"한국어, 베트남어",20221215,Y,
성동구 가족센터,엄애선,민간,위탁,서울,성동구,서울특별시 성동구 무학로 6길 9(홍익동) 3층,"서울특별시 성동구 홍익동 373-1, 3층",37.565446,127.0311137,https://sdfc.familynet.or.kr,233959447,233959266,7074699543,msdfc@hanmail.net,"평일 09:00-18:00(휴게시간 12:00-13:00, 주말 정기휴무)",21,베트남어,20221215,Y,
광진구 가족센터,윤명자,민간,위탁,서울,광진구,"서울특별시 광진구 아차산로 24길 17, 자양공공힐링센터 5층","서울특별시 광진구 자양동 13-28, 자양공공힐링센터 5층",37.5401997,127.0651525,gwangjin.familynet.or.kr,24580622,7088545731,24580185,gwangjin0666@daum.net,평일 09:00-18:00,20,"한국어, 중국어, 베트남어",20221215,Y,
동대문구 가족센터,한미영,민간,위탁,서울,동대문구,서울특별시 동대문구 청계천로 521 다사랑행복센터 7층,서울특별시 동대문구 용두동 255-69 다사랑행복센터 7층,37.5718894,127.0340686,https://ddmhfc.familynet.or.kr/center/index.do,29570760,29570266,29570761,ddmfc@daum.net,09:00-18:00(휴게시간 12:00-13:00) 일 정기휴무,34,"한국어, 일본어, 중국어, 베트남어, 몽골어",20221215,Y,
중랑구 가족센터,김영희,민간,위탁,서울,중랑구,서울특별시 중랑구 용마산로 369,서울특별시 중랑구 면목동 62-2,37.584891,127.093985,jungnang.familynet.or.kr,24354149,24354143,274694140,jungnang4142@naver.com,평일 09:00-18:00,16,베트남어,20221215,Y,
성북구 가족센터,김유경,민간,위탁,서울,성북구,서울특별시 성북구 안암로 145 고려대학교 라이시움 102호 성북구가족센터,"서울특별시 성북구 안암동5가 1-16, 고려대학교 라이시움 102호",37.590131,127.035889,https://sbfc.familynet.or.kr,232901660,29195141,221798649,sbfamily1660@daum.net,평일 09:00-18:00 주말 정기휴무,27,"베트남어, 몽골어",20221215,Y,
강북구 가족센터,한은주,민간,위탁,서울,강북구,서울특별시 강북구 한천로 129길 6,서울특별시 강북구 번동 417-93,37.6376835,127.0296631,http://gangbuk.familynet.or.kr/,29872567,29872568,7074692568,office@gbfamily.net,평일 09:00-18:00(휴게시간 12:00-13:00) 주말 정기휴무,27,"한국어, 베트남어",20221215,Y,
도봉구 가족센터,강진아,민간,위탁,서울,도봉구,서울특별시 도봉구 도봉로 552(창동) 도봉구민회관 2층 도봉구 다문화가족지원센터,서울특별시 도봉구 창동 303 도봉구민회관 2층,37.6540005,127.0386044,https://dobong.familynet.or.kr/,29956800,29956800,29956014,dobongfamily@naver.com,"월,수,금 09:00-18:00 화,목 09:00-21:00 토 10:00-17:00 일 정기휴무",36,"한국어, 베트남어",20221215,Y,
노원구 가족센터,장사열,민간,위탁,서울,노원구,서울특별시 노원구 동일로 173가길 94 가온빌딩 3F,서울특별시 노원구 공릉동 569-19 가온빌딩 3F,37.6224312,127.0726214,http://nowon.familynet.or.kr,29793502,29793503,29793504,no1mfc@gmail.com,평일 09:00-18:00(휴게시간 12:00-13:00) 주말 정기휴무,24,베트남어,20221215,Y,
은평구 가족센터,김현영,민간,위탁,서울,은평구,서울특별시 은평구 은평로21가길 15-17,서울특별시 은평구 녹번동 86-157,37.604299,126.929996,https://eunpyeong.familynet.or.kr/center/index.do,23763731,,23763759,epmfsc@naver.com,평일 09:00-18:00(휴게시간 12:00-13:00) 주말 정기휴무,28,"중국어, 베트남어",20221215,Y,
서대문구 가족센터,강주현,민간,위탁,서울,서대문구,"
서울특별시 서대문구 증가로 244(북가좌동), 2층","서울특별시 서대문구 북가좌동 333-5, 2층",37.5829532,126.91286,sdmfc.familynet.or.kr,23227595,23227594,23227533,sdmmcc@hanmail.net,"평일 09:00-18:00 야간상담(수,목) 18:00-21:00 둘째주,넷째주 토 9:00-15:00",34,베트남어,20221215,Y,
